date,fund,company,ticker,cusip,shares,market value($),weight(%)
2021-03-10,ARKF,SQUARE INC - A,SQ,852234103,1762307.00,399567866.11,10.33
2021-03-10,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,875145.00,211846350.15,5.47
2021-03-10,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1325183.00,194748893.68,5.03
2021-03-10,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1385866.00,160178392.28,4.14
2021-03-10,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1265550.00,154548966.00,3.99
2021-03-10,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1776965.00,150313469.35,3.88
2021-03-10,ARKF,SEA LTD-ADR,SE,81141R100,639903.00,138993330.63,3.59
2021-03-10,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,1994803.00,137581562.91,3.56
2021-03-10,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,122956.00,133763832.40,3.46
2021-03-10,ARKF,ADYEN NV,ADYEN,BZ1HM42,54716.00,122852080.67,3.17
2021-03-10,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,470497.00,110237447.10,2.85
2021-03-10,ARKF,MERCADOLIBRE INC,MELI,58733R102,74578.00,107061939.46,2.77
2021-03-10,ARKF,YEAHKA LTD,9923,BL58D39,10960400.00,101816650.24,2.63
2021-03-10,ARKF,TWILIO INC - A,TWLO,90138F102,279152.00,98476451.04,2.55
2021-03-10,ARKF,SNAP INC - A,SNAP,83304A106,1783174.00,98199392.18,2.54
2021-03-10,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4100653.00,97144469.57,2.51
2021-03-10,ARKF,MEITUAN-CLASS B,3690,BGJW376,2177182.00,88922391.31,2.30
2021-03-10,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,14637845.00,87886100.79,2.27
2021-03-10,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,320101.00,84794754.90,2.19
2021-03-10,ARKF,DOCUSIGN INC,DOCU,256163106,378176.00,80426689.92,2.08
2021-03-10,ARKF,Z HOLDINGS CORP,4689,6084848,13631330.00,76457699.82,1.98
2021-03-10,ARKF,APPLE INC,AAPL,037833100,637977.00,76544480.46,1.98
2021-03-10,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,309059.00,75011709.89,1.94
2021-03-10,ARKF,INTUIT INC,INTU,461202103,188832.00,72288666.24,1.87
2021-03-10,ARKF,AMAZON.COM INC,AMZN,023135106,23283.00,71191032.12,1.84
2021-03-10,ARKF,JD.COM INC-ADR,JD,47215P106,767831.00,68590343.23,1.77
