Date,Fund,Direction,Ticker,Company,Shares,Shares post-trade,Market value ($),Fund weight (%),Quote ($),CUSIP
2021-06-25,ARKF,Buy,1833,PING AN HEALTHCARE AND TECHN,444400.0,5762300.0,69736519.15,1.75,12.1022,BDRYVB3
2021-06-25,ARKF,Sell,ADYEN,ADYEN NV,-1562.0,52229.0,125963398.89,3.16,2411.75207,BZ1HM42
2021-06-25,ARKF,Sell,,DREYFUS GOVT CASH MAN INS,-13202796.82,18592595.94,18592595.94,0.47,1.0,X9USDDGCM
2021-06-25,ARKG,Buy,BEAM,BEAM THERAPEUTICS INC,12585.0,1731610.0,162771340.0,1.77,94.0,07373V105
2021-06-25,ARKG,Buy,PACB,PACIFIC BIOSCIENCES OF CALIF,95430.0,13131853.0,426522585.44,4.63,32.48,69404D108
2021-06-25,ARKG,Buy,CRSP,CRISPR THERAPEUTICS AG,13065.0,1798886.0,248030401.68,2.69,137.88,H17182108
2021-06-25,ARKG,Buy,REGN,REGENERON PHARMACEUTICALS,5055.0,694752.0,378257726.4,4.1,544.45,75886F107
2021-06-25,ARKG,Buy,CDXS,CODEXIS INC,47295.0,6508728.0,145339896.24,1.58,22.33,192005106
2021-06-25,ARKG,Buy,TDOC,TELADOC HEALTH INC,28680.0,3945855.0,644239745.85,6.99,163.27,87918A105
2021-06-25,ARKG,Buy,VRTX,VERTEX PHARMACEUTICALS INC,12570.0,1730258.0,332105720.52,3.6,191.94,92532F100
2021-06-25,ARKG,Buy,RXRX,RECURSION PHARMACEUTICALS-A,16860.0,2319072.0,80726896.32,0.88,34.81,75629V104
2021-06-25,ARKG,Buy,IONS,IONIS PHARMACEUTICALS INC,58065.0,7990837.0,307167774.28,3.33,38.44,462222100
2021-06-25,ARKG,Buy,SDGR,SCHRODINGER INC,18510.0,2546361.0,199787484.06,2.17,78.46,80810D103
2021-06-25,ARKG,Buy,CLLS,CELLECTIS - ADR,32985.0,4538340.0,70298886.6,0.76,15.49,15117K103
2021-06-25,ARKG,Buy,QSI,QUANTUM-SI INC,102864.0,1149983.0,12649813.0,0.14,11.0,74765K105
2021-06-25,ARKG,Buy,FATE,FATE THERAPEUTICS INC,28695.0,3948895.0,335024251.8,3.63,84.84,31189P102
2021-06-25,ARKG,Buy,TAK UN,TAKEDA PHARMACEUTIC-SP ADR,109740.0,15100621.0,255049488.69,2.77,16.89,874060205
2021-06-25,ARKG,Buy,INCY,INCYTE CORP,20895.0,2875000.0,247623750.0,2.69,86.13,45337C102
2021-06-25,ARKG,Buy,RPTX,REPARE THERAPEUTICS INC,14370.0,1976686.0,66021312.4,0.72,33.4,760273102
