Fund,Ticker,Company,10 days,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,CUSIP
ARKF,,DREYFUS GOVT CASH MAN INS,12076958.07,966572.51,2953107.26,-1540326.22,-601458.04,10299062.56,,,,,,X9USDDGCM
ARKF,,HONG KONG DOLLAR,0.0,,-17671445.72,17671445.72,,,,,,,,HKD
ARKF,,MORGAN STANLEY GOVT INSTL 8035,-8533486.68,,,,,-13359019.07,-16017774.02,20668239.86,-470320.21,1502823.8,-857437.04,X9USDMORS
ARKF,1833,PING AN HEALTHCARE AND TECHN,106900.0,,10400.0,,,,39000.0,,45000.0,7500.0,5000.0,BDRYVB3
ARKF,3690,MEITUAN-CLASS B,61100.0,,5600.0,,,,21000.0,,27000.0,4500.0,3000.0,BGJW376
ARKF,4477,BASE INC,605200.0,,7200.0,,,,27000.0,225800.0,338200.0,4200.0,2800.0,BKRQ8Q2
ARKF,4689,Z HOLDINGS CORP,384100.0,,36800.0,,,,138000.0,,163800.0,27300.0,18200.0,6084848
ARKF,6060,ZHONGAN ONLINE P&C INSURAN-H,508200.0,,48400.0,,,,181500.0,,217800.0,36300.0,24200.0,BYZQ099
ARKF,9923,YEAHKA LTD,1726400.0,,35200.0,,,,132000.0,378000.0,1141200.0,24000.0,16000.0,BL58D39
ARKF,AAPL,APPLE INC,15853.0,,1512.0,,,,5670.0,,6786.0,1131.0,754.0,037833100
ARKF,ADYEN,ADYEN NV,1554.0,,148.0,,,,555.0,,666.0,111.0,74.0,BZ1HM42
ARKF,AMZN,AMAZON.COM INC,336.0,,32.0,,,,120.0,,144.0,24.0,16.0,023135106
ARKF,BABA,ALIBABA GROUP HOLDING-SP ADR,11844.0,,1128.0,,,,4230.0,,5076.0,846.0,564.0,01609W102
ARKF,BEKE,KE HOLDINGS INC,22531.0,,2148.0,,,,8055.0,,9648.0,1608.0,1072.0,482497104
ARKF,BILL,BILL.COM HOLDINGS INC,4494.0,,428.0,,,,1605.0,,1926.0,321.0,214.0,090043100
ARKF,COIN,COINBASE GLOBAL INC -CLASS A,142504.0,19599.0,33316.0,89589.0,,,,,,,,19260Q107
ARKF,DKNG,DRAFTKINGS INC - CL A,21355.0,,2036.0,,,,7635.0,,9144.0,1524.0,1016.0,26142R104
ARKF,DOCU,DOCUSIGN INC,10626.0,,1012.0,,,,3795.0,,4554.0,759.0,506.0,256163106
ARKF,DSY,DISCOVERY LTD,145375.0,,13852.0,,,,51915.0,,62298.0,10386.0,6924.0,6177878
ARKF,FB,FACEBOOK INC-CLASS A,8190.0,,780.0,,,,2925.0,,3510.0,585.0,390.0,30303M102
ARKF,GWRE,GUIDEWIRE SOFTWARE INC,10855.0,,1036.0,,,,3885.0,,4644.0,774.0,516.0,40171V100
ARKF,HDB,HDFC BANK LTD-ADR,14509.0,,1384.0,,,,5190.0,,6210.0,1035.0,690.0,40415F101
ARKF,ICE,INTERCONTINENTAL EXCHANGE IN,-166537.0,,3200.0,-37471.0,,,12345.0,,14796.0,-161259.0,1852.0,45866F104
ARKF,INTU,INTUIT INC,-15985.0,,452.0,-21240.0,,,1905.0,,2268.0,378.0,252.0,461202103
ARKF,JD,JD.COM INC-ADR,25368.0,,2416.0,,,,9060.0,,10872.0,1812.0,1208.0,47215P106
ARKF,KSPI,JSC KASPI.KZ GDR-REG S,4056.0,,388.0,,,,1455.0,,1728.0,291.0,194.0,BMXZ8G7
ARKF,LC,LENDINGCLUB CORP,400824.0,,,,,,,,204348.0,196476.0,,52603A208
ARKF,LSPD,LIGHTSPEED POS INC-SUB VOTE,-8824.0,,,,-8824.0,,,,,,,BGHVW01
ARKF,MELI,MERCADOLIBRE INC,2100.0,,200.0,,,,750.0,,900.0,150.0,100.0,58733R102
ARKF,MKTX,MARKETAXESS HOLDINGS INC,882.0,,84.0,,,,315.0,,378.0,63.0,42.0,57060D108
ARKF,NVDA,NVIDIA CORP,2100.0,,200.0,,,,750.0,,900.0,150.0,100.0,67066G104
ARKF,OPEN,OPENDOOR TECHNOLOGIES INC,809118.0,,13856.0,,46400.0,633400.0,45585.0,,54684.0,9117.0,6076.0,683712103
